Radiomics Feature,Descriptor
original_glszm_SmallAreaLowGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_SurfaceArea,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_RunPercentage,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
diagnostics_Mask-original_VoxelNum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_SmallDependenceLowGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_LowGrayLevelZoneEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
diagnostics_Mask-original_VolumeNum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_SmallDependenceEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_ZoneEntropy,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_LargeAreaHighGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_HighGrayLevelZoneEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_MajorAxisLength,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Sphericity,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_DependenceNonUniformityNormalized,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_ZonePercentage,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_LongRunLowGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_ngtdm_Busyness,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_SurfaceVolumeRatio,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_HighGrayLevelRunEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_GrayLevelNonUniformity,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_ngtdm_Coarseness,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_DependenceEntropy,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_ngtdm_Contrast,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_RunLengthNonUniformity,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_ShortRunHighGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Maximum3DDiameter,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
"original_shape_FlaRim Enhancement	- Round/Oval	- Smooth - Segmentaless","Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_LowGrayLevelRunEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_firstorder_Variance,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Elongation,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Maximum2DDiameterSlice,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_firstorder_TotalEnergy,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_LongRunHighGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
diagnostics_Image-original_Maximum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_ShortRunLowGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_MCC,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_HighGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_LongRunEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_RunLengthNonUniformityNormalized,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_firstorder_Kurtosis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_LowGrayLevelEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Maximum2DDiameterColumn,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_LargeDependenceEmphasis,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_DifferenceVariance,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_firstorder_Minimum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_MinorAxisLength,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_MaximumProbability,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_RunEntropy,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_Imc1,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_Autocorrelation,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_Correlation,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_ngtdm_Complexity,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_Idm,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_gldm_DependenceNonUniformity,Heterogenous - Irregular - Spiculated - Diffiuse
original_glcm_JointAverage,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glrlm_GrayLevelVariance,Heterogenous - Irregular - Spiculated - Diffiuse
original_glszm_GrayLevelVariance,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glszm_SizeZoneNonUniformityNormalized,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_firstorder_Uniformity,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_shape_Maximum2DDiameterRow,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_ClusterShade,Heterogenous - Irregular - Spiculated - Diffiuse
diagnostics_Image-original_Minimum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_SumAverage,Heterogenous - Irregular - Spiculated - Diffiuse
original_firstorder_Maximum,"Rim Enhancement	- Round/Oval	- Smooth - Segmental"
original_glcm_Id,Heterogenous - Irregular - Spiculated - Diffiuse